w,c_over_cbar,bias_v4,mse_v4,bias_absv,var_absv,mse_absv
2,2.939887516802749,2014.4584622128798,4058042.9102308704,-0.7208903035637197,3.6360653923419164e-09,0.5196828334082574
8,2.9285007089825226,1996.9599809441734,3987948.059567334,-0.7174345258236074,1.2924822777755094e-06,0.5147135913260222
64,2.840788096058979,702.7781652000032,533984.3598484256,-0.6096125988410952,0.00013766253992997558,0.37176518320572405
512,2.2623459450689842,9.049849721434331,82.41855094583109,-0.3905534312575789,1.0917957328650264e-05,0.15254290062439707
2048,0.9911493634467498,0.015692009831812737,0.011191484418937131,-0.00017967535977847504,1.9869293140399754e-05,1.9901576375311277e-05
