scheme,mean_v4,bias,variance,mse,var_ratio_vs_MC
"MC (random, iid)",3.0001037476911314,0.0030305769594241028,0.011822662619544925,0.011831847016251918,1.0
"RQMC (random, stratified)",2.993217100001703,-0.0038560707300043795,0.01019679015576626,0.010211659437241057,1.1594494383959877
"A-iid (sorted, iid)",1500.984347093783,1497.9872739230514,120553.62613612496,2364519.49897154,9.806973874178771e-08
"Array-RQMC (sorted, aligned)",2017.4548910024935,2014.4578178317618,0.012431198748724179,4058040.312254702,0.9510476711474258
