N,ks_random,ks_sorted,ks_fixed
2,0.00246107030333767,0.0026642717177572384,0.0036063517671720557
4,0.003086733349913273,0.49790469634153245,0.0059220291827318805
6,0.001209934594105122,0.6637816290719082,0.0065777293238150625
8,0.0016355800365914774,0.746830786951543,0.0069307938096606625
16,0.0011992134538094668,0.8706551622331882,0.009723989619526752
32,0.0008736059339140567,0.9320144543545326,0.0019715596908086025
64,0.000552673433571238,0.9622285309322555,0.0015746219247508575
