law,description,N,seed_index,m4,m4_pred,m4_pct,m6,m6_pred,m6_pct,tail,e_below_top,maxv_ratio
L1_uniform,uniform on the circle,16,0,12.046304858114347,12.0,0.3858738176195568,161.11133332749588,160.0,0.694583329684928,0.0827578125,2.808024297383968e-06,0.9016841495565849
L1_uniform,uniform on the circle,16,1,12.035580960217953,12.0,0.29650800181627207,160.85395790242742,160.0,0.5337236890171404,0.083234375,2.4166629498194623e-06,0.9013650754263318
L1_uniform,uniform on the circle,64,0,47.94753133981536,48.0,-0.10930970871799357,2554.9632726585896,2560.0,-0.19674716177384255,0.026294921875,1.0810485874839806e-05,0.9002470020512512
L1_uniform,uniform on the circle,64,1,48.179405859987526,48.0,0.37376220830734513,2577.223180613252,2560.0,0.672780492705165,0.026130859375,9.02063939917956e-06,0.9015349963740146
L1_uniform,uniform on the circle,256,0,191.80446069574344,192.0,-0.10184338763362295,40884.9171578751,40960.0,-0.1833077200315003,0.00721044921875,4.4997114511018075e-05,0.9000610741328551
L1_uniform,uniform on the circle,256,1,191.85009691056888,192.0,-0.07807452574537521,40902.44207793447,40960.0,-0.1405222706677911,0.007202148437499998,5.14920332114963e-05,0.8998180444375782
L2_arc_eps0.30,uniform on an arc of length pi/2+0.30,16,0,11.889967515255732,12.0,-0.9169373728689015,157.35923646945747,160.0,-1.6504772065890805,0.0840859375,2.651460172596595e-06,0.8968841834826321
L2_arc_eps0.30,uniform on an arc of length pi/2+0.30,16,1,11.897841617675413,12.0,-0.8513198527048941,157.54822081509775,160.0,-1.5323619905639063,0.08461718750000002,3.5045144577412846e-06,0.8967195026708321
L2_arc_eps0.30,uniform on an arc of length pi/2+0.30,64,0,47.71919832408007,48.0,-0.5850034914998581,2533.0433591099436,2560.0,-1.0529937847678283,0.026271484374999994,1.3174017694632138e-05,0.8974935863565516
L2_arc_eps0.30,uniform on an arc of length pi/2+0.30,64,1,47.80642990649888,48.0,-0.40327102812733884,2541.4176487464656,2560.0,-0.7258730958411874,0.026365234375,1.5518649895616966e-05,0.8989413680510582
L2_arc_eps0.30,uniform on an arc of length pi/2+0.30,256,0,191.32452795522218,192.0,-0.35180835665511445,40700.62370130598,40960.0,-0.6332429167334475,0.007186035156250002,5.1467290764671137e-05,0.8987391870117584
